R_Mean,G_Mean,B_Mean,H_Mean,S_hsl_Mean,S_hsv_Mean,L_Mean,V_Mean,Lab_L_Mean,Lab_a_Mean,Lab_b_Mean,Red_Energy,Green_Energy,Blue_Energy,Gray_Energy,Hue_Energy,Sat_hsl_Energy,Sat_hsv_Energy,Light_Energy,Value_Energy,Red_Entropy,Green_Entropy,Blue_Entropy,Gray_Entropy ,Hue_Entropy,S_hsl_Entropy,S_hsv_Entropy,Light_Entropy,Value_Entropy,Red_Contrast,Green_Contrast,Blue_Contrast,Gray_Contrast,Hue_Contrast,S_hsl_Contrast,S_hsv_Contrast,Light_Contrast,Value_Contrast,Red_Homogeneity,Green_Homogeneity,Blue_Homogeneity,Gray_Homogeneity,Hue_Homogeneity,S_hsl_Homogeneity,S_hsv_Homogeneity,Light_Homogeneity,Value_Homogeneity,Red_Inverse,Green_Inverse,Blue_Inverse,Gray_Inverse,Hue_Inverse,S_hsl_Inverse,S_hsv_Inverse,Light_Inverse,Value_Inverse,Red_Correlation,Green_Correlation,Blue_Correlation,Gray_Correlation,Hue_Correlation,S_hsl_Correlation,S_hsv_Correlation,Light_Correlation,Value_Correlation,Red_SumMean,Green_SumMean,Blue_SumMean,Gray_SumMean,Hue_SumMean,S_hsl_SumMean,S_hsv_SumMean,Light_SumMean,Value_SumMean,Red_Variance,Green_Variance,Blue_Variance,Gray_Variance,Hue_Variance,S_hsl_Variance,S_hsv_Variance,Light_Variance,Value_Variance,Red_Cluster,Green_Cluster,Blue_Cluster,Gray_Cluster,Hue_Clustere,S_hsl_Cluster,S_hsv_Cluster,Light_Cluster,Value_Cluster,Red_MaxProb,Green_MaxProb,Blue_MaxProb,Gray_MaxProb,Hue_MaxProb,S_hsl_MaxProb,S_hsv_MaxProb,Light_MaxProb,Value_MaxProb,Purity
181,74,60,24.4677134,0.502704543,0.558568029,0.472974004,0.710608419,51.84608282,31.97817054,34.79249294,0.000267748,0.000292466,0.000320016,0.000291526,0.004478143,0.000608527,0.000443753,0.000322033,0.000375436,3.981971477,3.913868753,3.843370848,3.915954176,2.659559173,3.504617402,3.665235491,3.875693233,3.776645514,425.3294172,374.2485112,326.8411381,372.9125693,282.329026,171.0471625,220.4285821,357.9590111,422.2019182,0.153820161,0.157229995,0.162021006,0.158568825,0.302935931,0.19940357,0.174431698,0.160725164,0.156021124,0.086638547,0.089628315,0.093373016,0.092095555,0.255573209,0.129041353,0.103573314,0.092164643,0.083917616,72830705.18,49088645.79,32017913.25,43606106.18,442022.5087,16346503.72,20404867.13,33456214.94,43775550.86,139.3704619,120.9303672,97.97675294,123.444477,27.63743612,53.17451105,75.80203371,118.2017357,139.035448,1345.0254,1127.702966,890.781174,1013.339787,233.0033231,848.5781485,851.1612399,935.2166483,1336.104932,4954.772181,4136.563352,3236.283558,3680.446581,649.6842665,3223.265431,3184.216378,3382.907582,4922.217808,0.011279755,0.011282933,0.011291769,0.011318073,0.012232955,0.011363636,0.011312359,0.011666263,0.011337011,VL
186,69,56,23.09252223,0.535179211,0.586714343,0.473993477,0.728371525,51.86169817,35.04219287,36.86936337,0.000288715,0.000312831,0.000340008,0.000312308,0.004603541,0.000627447,0.000470505,0.000340167,0.000388255,4.00282033,3.93248238,3.860466505,3.936470658,2.654278538,3.514964138,3.664756084,3.897717617,3.799023187,474.4092201,415.8986994,359.9863709,415.9594063,294.7407282,183.140507,226.1277017,398.1477917,471.1897415,0.152038458,0.155293566,0.160746042,0.156749086,0.305786987,0.198141661,0.174125237,0.158680927,0.154150915,0.085153803,0.087159363,0.092543209,0.088199318,0.257991567,0.126209528,0.102393104,0.08950597,0.081989919,81175286.65,53976587.6,34214999.04,47506347.54,458050.8976,17932318.07,21221683.11,36164012.66,48446382.1,139.1671405,120.6066363,97.65884324,123.1652061,27.80647897,53.62513877,75.89603574,117.9696992,138.8468459,1432.868505,1196.120663,932.3706896,1070.772454,243.0241017,917.5832867,887.0088558,985.1753709,1423.329613,5257.064799,4368.583952,3369.496387,3867.130408,677.3556786,3487.19264,3321.907722,3542.553692,5222.128711,0.012503181,0.012504365,0.012521853,0.012595898,0.01298809,0.012600162,0.012547537,0.012897068,0.012567332,VL
182,73,59,23.99982372,0.51248379,0.567307842,0.47316407,0.715435294,51.84187827,32.78300617,35.3854964,0.000274683,0.000298855,0.000324879,0.000298196,0.004664351,0.000610728,0.000452667,0.000328254,0.000377286,3.999334814,3.930805104,3.859753659,3.934411999,2.638678686,3.521330821,3.66719199,3.894697385,3.796432439,477.7680876,422.8197373,365.0695207,417.703207,277.7784998,205.9993725,238.2835661,398.6146078,474.2223972,0.151877186,0.154903724,0.159643495,0.156303862,0.305395062,0.197162365,0.172708746,0.158388529,0.153992982,0.08468849,0.087781945,0.090995481,0.088474053,0.25841234,0.126682832,0.101967135,0.089529122,0.082363305,77022764.01,51215929.09,33096265,45446383.17,408234.0819,16962418.51,20397136.86,34970772.02,46292938.96,139.6032281,120.7853032,97.65462276,123.3878271,27.50362544,54.12073439,76.66512529,118.1600452,139.2755906,1401.775097,1172.016154,920.2197614,1052.87809,225.7892668,892.7215261,865.4817787,971.6083594,1393.284363,5129.332301,4265.244881,3315.809525,3793.809155,625.3785672,3364.886732,3223.643549,3487.81883,5098.915057,0.011780464,0.011783937,0.01179579,0.011867298,0.012480104,0.011868655,0.011813853,0.012300073,0.011837943,VL
187,69,56,22.55819532,0.542196522,0.593338055,0.476044322,0.734176359,52.06117599,35.68182822,37.34769658,0.000293968,0.000318419,0.000343126,0.000317239,0.004855164,0.000633918,0.000476659,0.000346276,0.000395182,4.002195949,3.933455487,3.863940597,3.937404636,2.621809668,3.517010037,3.662399748,3.899461232,3.800489623,492.4441555,431.4377261,371.7775949,430.7876661,269.9697851,198.6485295,229.0261318,411.5103736,487.9621855,0.150083445,0.153192219,0.158371569,0.154736166,0.309621575,0.198429902,0.17409792,0.156230424,0.152181982,0.083171204,0.084735173,0.088674536,0.086925121,0.26221777,0.127627201,0.10208825,0.087021083,0.080344999,74063530.64,49884645.42,33021246.61,43546048.45,386319.6365,17665730.27,21168406.45,33704544.49,44595615.51,140.1814375,121.2377173,98.09904592,123.8860506,27.4822759,54.12002257,76.50550251,118.6780818,139.845159,1387.607377,1168.604468,926.7956989,1038.757093,218.9441081,920.4627189,891.6123516,959.2923336,1378.917914,5057.985351,4242.980146,3335.405201,3724.240705,605.8066473,3483.202346,3337.423274,3425.658961,5027.709472,0.012662797,0.012667743,0.012684194,0.012737233,0.013169313,0.012762119,0.012709186,0.013118286,0.012725745,VL
183,72,58,23.76168785,0.518107638,0.571363473,0.47415201,0.719911357,51.89742227,33.53798574,35.74844652,0.000276563,0.000300951,0.000326922,0.00029967,0.004641436,0.000623465,0.000458743,0.000330134,0.000380271,3.993193867,3.923666863,3.852917354,3.927015304,2.646068164,3.51020939,3.661360907,3.888628354,3.789330206,458.034455,401.8401612,348.1024212,399.173234,286.3136488,191.4916643,230.1974152,381.9358773,453.6610232,0.153149527,0.155839924,0.160611981,0.157449224,0.304423498,0.199064409,0.173989178,0.159420519,0.155088274,0.085680931,0.087936031,0.092829265,0.089818103,0.257695633,0.1280486,0.103505414,0.090835368,0.082850231,74307256.12,49970139.27,32668124.45,44230707.27,446884.114,16825865.9,20348766.86,34273923.7,44921649.1,139.3959846,120.9288706,98.25653862,123.4743336,27.61671747,52.97834258,75.26330187,118.3438785,139.0679318,1376.761609,1153.029476,909.008896,1033.912612,238.0925504,885.673698,865.5267411,953.9642287,1366.801812,5049.011982,4210.277741,3287.933163,3736.477212,666.0565528,3351.203128,3231.909549,3433.921038,5013.546224,0.011750482,0.011750706,0.01175507,0.011804775,0.0128697,0.011835511,0.011779001,0.012241085,0.011806605,VL
184,70,57,23.53277148,0.52402398,0.577341218,0.473096834,0.722231132,51.75485042,34.21453093,36.14176888,0.000282067,0.000307748,0.000334066,0.000307043,0.004357322,0.000607186,0.000442337,0.000337391,0.000388234,3.983452181,3.914743131,3.847061915,3.917747767,2.682394887,3.513729035,3.684017481,3.87909039,3.778616969,433.4425482,385.5134677,338.7391967,383.7329876,310.1645242,174.0914618,224.9594779,368.2612154,430.4019282,0.153757688,0.156658748,0.161313385,0.158216144,0.300332185,0.199288721,0.173037056,0.160062886,0.155972529,0.086492543,0.088836645,0.092605811,0.090037388,0.252424867,0.127970392,0.10190308,0.09113731,0.08354113,74071588.02,48859358.75,31819993.5,43225670.74,555224.2768,17665380.43,22876196.6,33285731.81,44623538.44,138.6982239,120.1538019,97.65577751,122.7590143,27.79881259,52.67001427,75.28365471,117.7222631,138.3811836,1366.469679,1135.77859,896.4038001,1016.953769,267.6469162,888.1226698,905.0730309,937.896083,1355.860972,5032.436166,4157.600894,3246.876004,3684.08209,760.4231404,3378.399217,3395.332646,3383.323117,4993.04196,0.011926099,0.011928345,0.01194025,0.012009319,0.012374409,0.012019294,0.011961559,0.012387878,0.011987872,VL
186,67,55,22.59937695,0.543386754,0.595176614,0.472528742,0.731371689,51.66898289,35.91975424,37.39563565,0.000287928,0.000313448,0.000342731,0.000313259,0.004424929,0.000621565,0.000463218,0.000344982,0.000396231,3.986638099,3.915679332,3.842249005,3.918416016,2.670771071,3.510093467,3.668316011,3.87870889,3.778212211,437.1117295,386.1790748,336.2577976,382.7706201,301.6945866,184.0576897,231.3404121,366.4766061,434.5965914,0.154766135,0.157782005,0.163146249,0.159738607,0.302040152,0.19924391,0.173806657,0.161860872,0.157105487,0.087522062,0.089555056,0.094309315,0.09166471,0.253520791,0.128169789,0.102696066,0.092448149,0.085098451,79487550.55,51320594.1,32566278.22,45493948.42,518161.4646,17645472.29,21447560.17,34953187.65,46929071.41,138.2600896,119.5464021,96.78247676,122.1574897,27.77563545,53.48594363,76.29528572,117.0547639,137.9415541,1406.108233,1157.710759,903.6002839,1038.207947,256.8814724,900.2708533,889.4102229,957.9327782,1396.130119,5187.321202,4244.663963,3278.143338,3770.061168,725.8313032,3417.025724,3326.300479,3465.254507,5149.923884,0.012278615,0.01228478,0.012294721,0.012374841,0.012725838,0.012370525,0.012314329,0.012767458,0.012342323,VL
178,77,62,25.1758686,0.483367836,0.54235109,0.469364482,0.69639628,51.5173488,30.08554667,33.47409102,0.000261136,0.000284995,0.000313309,0.000285593,0.004442721,0.000587145,0.000422421,0.000314904,0.000369185,3.988526606,3.923169599,3.853348719,3.923993812,2.660070995,3.51742263,3.682925631,3.883585744,3.782907225,450.2360742,399.8630056,348.9445842,392.8073024,272.4317649,203.5646172,241.1987463,375.7717614,447.0037382,0.153756255,0.156703197,0.161841756,0.158389256,0.301673545,0.197827118,0.171547629,0.160499529,0.155827124,0.08689525,0.090036469,0.094799326,0.091550251,0.254919126,0.128401461,0.101493067,0.093202191,0.083742968,73817253.45,50004039.54,32598696.11,44368317.7,411196.04,16456530.91,21309123.5,34383345.48,44155388.76,138.3045561,119.8140241,96.98450495,122.3615685,27.37796542,53.38477229,76.35277408,117.1746258,137.9667851,1359.558093,1142.340828,906.2193743,1028.569476,221.3965029,854.2364277,865.9542583,951.1457229,1352.038932,4987.996296,4169.500306,3275.932913,3721.470602,613.1542466,3213.381094,3222.618287,3428.81113,4961.151989,0.011024117,0.011024117,0.011031253,0.011122744,0.012046217,0.011098994,0.011047409,0.011435448,0.011079797,VL
185,71,57,23.62047052,0.525377871,0.577805538,0.474461525,0.724071857,51.93743487,34.19127231,36.26625831,0.000286802,0.000312018,0.000338416,0.000311245,0.004549557,0.000629929,0.000466718,0.000340405,0.000389087,4.003361987,3.93357127,3.864222653,3.937611298,2.651116658,3.512961457,3.662727991,3.898527939,3.800917027,490.1586925,428.8826692,374.016345,430.4604151,292.8345295,188.0718652,226.4261086,413.2899367,486.1221074,0.151012653,0.154143757,0.159147231,0.155661769,0.304860652,0.197334269,0.172351663,0.157320371,0.153151348,0.084646269,0.086588322,0.091537015,0.088401925,0.258136863,0.125735074,0.100720883,0.089107762,0.081205312,73871462.78,49129675.63,31991562.36,43129423.37,461147.9827,17098767.15,20528775.27,33188155.88,44563170.5,139.3293898,120.9647372,98.14703938,123.4864274,27.90503746,52.98744845,75.26286962,118.2914627,139.0093096,1383.46844,1157.392916,915.4060584,1033.698532,242.6707954,898.7098917,874.5666051,955.3586001,1374.639334,5043.715066,4200.688993,3287.607888,3704.333712,677.8486522,3406.767702,3271.840312,3408.144464,5012.43523,0.012327674,0.012333804,0.012342271,0.012403416,0.012779661,0.012423587,0.012366482,0.01273485,0.012390878,VL
181,73,59,24.22876477,0.505723084,0.561797549,0.471477214,0.710741876,51.66221667,32.34276642,34.96419909,0.000272008,0.00029742,0.000324591,0.000296866,0.004378956,0.000613506,0.000443569,0.000325633,0.000380967,3.988572713,3.91875045,3.848507964,3.921646585,2.668731812,3.503989438,3.666322459,3.882577992,3.78088505,444.5437055,392.8021674,342.8276452,391.9708043,283.3417871,178.3445448,223.4246194,375.9659851,441.736183,0.153031808,0.156081563,0.161472793,0.157863013,0.299762735,0.197857067,0.172185366,0.159915602,0.155097256,0.085828653,0.088909495,0.092902502,0.090948049,0.252225445,0.12792462,0.102083816,0.091574187,0.083082759,72453037.7,48369098.37,31346768.02,42907846.5,460436.4841,16087673.24,20068021.41,33212201.96,43338946.11,138.5691099,120.080715,97.33640849,122.6362046,27.53034359,53.00742513,75.90139102,117.4843544,138.2362848,1357.458425,1132.908318,891.1002334,1018.782218,236.2817795,852.1049798,845.9594051,940.9238308,1348.313055,4985.289996,4138.831105,3221.573289,3683.158068,661.7853311,3230.075375,3160.413001,3387.729338,4951.516038,0.011468948,0.011467018,0.011486571,0.011534802,0.012020168,0.011547409,0.011496984,0.011856794,0.011524253,VL
